ruzgardan rüzgardan
girildiginde girildiğinde
nasilsa nasılsa
madride Madrid'e
bik Bike
pozıtıf pozitif
burayi burayı
sicakti sıcaktı
bie bize
ordaki oradaki
dokunuslar dokunuşlar
bekledigimi beklediğimi
bekliyo bekliyor
siniftan sınıftan
ozet özet
parmagı parmak
natali Natalie
ıstanbulun Istanbul'un
iyimiş iyiymiş
dier diğer
oldugunu olduğunu
ozel özel
mujde müjde
tuzagi tuzak
kalitesizligini kalitesizliğini
oan olan
olduguna olduğuna
yapıyo yapıyor
beklıyor bekliyor
oceans Ocean
alti altı
ordaydı oradaydı
teror terör
fotografci fotoğrafçı
manyagı manyağı
atıcak atacak
oldugumu olduğumu
tekrarliyor tekrarlıyor
çiplak çıplak
oneri öneri
gemı gemi
göstermis göstermiş
riza rıza
detayina detayına
birlilte birlikte
hanfendinin hanımefendinin
direnis direniş
serefine şerefine
yakisan yakışan
gittiginiz gittiğiniz
havasinda havasında
venim benim
nerde nerede
alıcağımız alacağımız
adamalr adamlar
gorunuyor görünüyor
hapisane hapishane
ugraş uğraş
tanri tanrı
petersburgda Petersburg'da
diyarbekir Diyarbakır
bes beş
tabiiki tabii
nobet nöbet
sevgısı sevgisi
demis demiş
amerikadan Amerika'dan
gıtmelı gitmeli
butce bütçe
fınal final
gececek geçecek
demislerdi demişlerdi
değişikdi değişikti
eglenerek eğlenerek
ogretmen öğretmen
uslüp üslup
olmemek ölmemek
alinirsa alınırsa
oldugumuzu olduğumuzu
dırek direk
golding holding
anlatilmaz anlatılmaz
hyun Hyundai
bolucu bölücü
süperr süper
beklentımı beklentimi
kavrami kavramı
olusturmasi oluşturması
editor editör
pantolan pantolon
adrenalın adrenalin
ardindan ardından
odulu ödülü
olucağı olacağı
cocuklarimiz çocuklarımız
aciyorum açıyorum
ayip ayıp
plani planı
burasi burası
odule ödüle
kartlarini kartlarını
karsiliyor karşılıyor
ulasilan ulaşılan
dıyecegımı diyeceğimi
tamamdir tamamdır
iliskiler ilişkiler
flimi filmi
olmayacagini olmayacağını
oynuyo oynuyor
maglesef maalesef
aldında altında
bbe bebek
vaadedilen vadedilen
süpriz sürpriz
ozellikler özellikler
parkda parkta
iskence işkence
olmadğını olmadığını
sartlarina şartlarına
gens geniş
gerçekci gerçekçi
gorusum görüşüm
katki katkı
farksiz farksız
anlamli anlamlı
istedigim istediğim
yansıtmıs yansıtmış
gena fena
bag bağ
almıs almış
beşiktaşta Beşiktaş'ta
ritm ritim
bones bonesi
baa baza
buyuyen büyüyen
care çare
kafayi kafayı
aşki askı
tasiyan taşıyan
etmisler etmişler
cabasi çabası
gitmis gitmiş
gunlerde günlerde
sonucta sonuçta
gıderek giderek
ızlemem izlemem
arabalari arabaları
ızlemek izlemek
acıga açığa
newt Newton
bulacagınız bulacağınız
abarti abartı
degersiz değersiz
gıtmeme gitmeme
gunlerce günlerce
cıkmasını çıkmasını
pahali pahalı
vatandaslari vatandaşları
siklikla sıklıkla
tutmayin tutmayın
gıtmeli gitmeli
anlamis anlamış
hıc hiç
sıddetle şiddetle
gunuydu günüydü
amann aman
duymus duymuş
havalanında havaalanında
yansitan yansıtan
meger meğer
secilmiş seçilmiş
karekteri karakter
gıtmıs gitmiş
dustuk düştük
mukemmele mükemmele
yukardaydı yukarıdaydı
sayilabilir sayılabilir
kisinin kişinin
bekletim beklentim
oludğunu olduğunu
kivaminda kıvamında
bakıcaz bakacağız
bazilari bazıları
devamini devamını
olaganustu olağanüstü
musluman müslüman
akpinar Akpınar
dovus dövüş
edemiyo edemiyor
cant jant
yaratiyor yaratıyor
meğersem meğer
bakıcak bakacak
yapmasina yapmasına
oluyorr oluyor
nun un
tanis tanış
fınalı finali
alis alış
aninda anında
tanik tanık
genova Geneva
alip alıp
larda Lara
sevecan sevecen
acikli acıklı
rahmen rağmen
turkiyenin Türkiye'nin
performanslari performansları
sapka şapka
came camekan
yüksekdi yüksekti
sehirden şehirden
kısmınada kısmında
calismalar çalışmalar
hakiketen hakikaten
görücez gör
begenmis beğenmiş
yönu yönü
yapımi yapımı
yaptm yaptım
pecetesiz peçetesiz
nese neşe
günaydin günaydın
yapti yaptı
görücem göreceğim
görücek görecek
yiyo yiyor
guven güven
standartlarin standartların
azd azdı
mechul meçhul
ısteyen isteyen
aliyorsun alıyorsun
carptı çarptı
kafasi kafası
kararinda kararında
makyajli makyajlı
ıtıraf itiraf
haraketleri hareketleri
algi algı
cifci çiftçi
yapamdı yapamadı
sapik sapık
empatı empati
cılgın çılgın
yapmıslar yapmışlar
ayi ayı
yapiskan yapışkan
hicbirimiz hiçbirimiz
sıyah siyah
larak Lara
soylemıyorum söylemiyorum
ızlesın izlesin
kadinlarin kadınların
onalrdan onlardan
tarafli taraflı
boyuncada boyunca
askerlerının askerlerinin
tesekurler teşekkürler
altyazili altyazılı
kagit kağıt
migdem midem
konusmaktan konuşmaktan
dogulu doğulu
geen gelen
hazir hazır
ucagi uçak
alel aile
geek gerek
aldiktan aldıktan
ucaga uçağa
ceber çember
halkasi halkası
edebılecegım edebileceğim
konusmaları konuşmaları
nukhet Nükhet
vucut vücut
özellilke özellikle
bombos bomboş
yonlerınden yönlerinden
dakikasinda dakikasında
aldm aldım
şoyle şöyle
aldi aldı
verılmesınde verilmesinde
sacma saçma
begenmem beğenmem
vucud vücut
sinavi sınav
nor Nora
degisiklikler değişiklikler
atara atari
bitmistir bitmiştir
ıstanbulda Istanbul'da
gosterdiginiz gösterdiğiniz
tarafin tarafın
secilmis seçilmiş
kahramani kahraman
evın evin
diyebilirz diyebiliriz
yarisindan yarısından
sacli saçlı
getirdigi getirdiği
ayrintilar ayrıntılar
aldıgım aldığım
söyleceklerim söyleyeceklerim
daglar dağlar
yaptiktan yaptıktan
kanatli kanatlı
sikca sıkça
diyebilirm diyebilirim
anımasyonu animasyonu
imkani imkanı
paralari paraları
cıksam çıksam
havalanı havaalanı
carsaflı çarşaflı
balıkesirde Balıkesir'de
gecırdıgımı geçirdiğimi
esittir eşittir
widows Windows
ıdare idare
aldigindan aldığından
generel general
kosesinde köşesinde
surecinde sürecinde
busra Büşra
altini altını
konusurken konuşurken
donusu dönüşü
kafami kafamı
altina altına
sikan sıkan
formasi forması
geçmiste geçmişte
alak alaka
secılmıs seçilmiş
kirmizisi kırmızısı
alah Allah
mükenmel mükemmel
kiyasla kıyasla
herkezin herkesin
asl asla
unıversıtelı üniversiteli
cikamaz çıkamaz
sevisme sevişme
bağzı bazı
sarikamis Sarıkamış
powers Power
ögrenmek öğrenmek
olcak olacak
ilerledikce ilerledikçe
alıcaksın alacaksın
kafali kafalı
sayfalik sayfalık
gögüs göğüs
tıpık tipik
ınıp inip
çıkıcaktım çıkacaktım
neki ne
tavirla tavırla
coktu çoktu
sınemasında sinemasında
amaci amacı
sılah silah
anlatıyo anlatıyor
ard arda
cadi cadı
soyleyebılırım söyleyebilirim
yoresel yöresel
kusu kuşu
sayisi sayısı
cokta çokta
düsük düşük
ugruna uğruna
karsilik karşılık
olmalidir olmalıdır
olumcul ölümcül
tecavuz tecavüz
oluo olup
olum ölüm
dunyanın dünyanın
2016da 2016'da
söyledği söylediği
oynu oyunu
cekenler çekenler
avusturyadan Avusturya'dan
oyunculari oyuncuları
hekese herkese
kütahyada Kütahya'da
cıksaydı çıksaydı
basıt basit
dıyerek diyerek
tutmu tutumu
yasiyorsunuz yaşıyorsunuz
kure küre
konusmalari konuşmaları
dakıkasında dakikasında
cocuklarımıza çocuklarımıza
yalnizlik yalnızlık
esasli esaslı
gormeyen görmeyen
yapamak yapmak
etkinligi etkinliği
yaratilis yaratılış
dıkkatı dikkati
nie niye
olabılıyor olabiliyor
çogunun çoğunun
ucretle ücretle
yapit yapıt
çıkıcağım çıkacağım
olsn olsun
yapis yapış
üniv üniversite
yapip yapıp
yapin yapın
sonrasinda sonrasında
yapim yapım
biliyorsaniz biliyorsanız
yarattıgını yarattığını
ınkar inkar
artisi artısı
oyle öyle
dusurmustu düşürmüştü
ınanılmaz inanılmaz
mırası mirası
rice rica
çabasi çabası
etkıleyıcı etkileyici
nıye niye
küvez kuvöz
hicbir hiçbir
bekletimin beklentimin
verdigi verdiği
dusunenler düşünenler
şurda şurada
cocugun çocuğun
gencleri gençleri
oluyodu oluyordu
söyliyeyim söyleyeyim
yaziyor yazıyor
gulduler güldüler
kogus koğuş
suite süite
emegı emeği
buyuleyici büyüleyici
firsatta fırsatta
çekilde şekilde
sebebler sebepler
smiths Smith
gördügümüz gördüğümüz
edecem edeceğim
gelmis gelmiş
ortalıkda ortalıkta
kunu konu
sinama sinema
yili yılı
sikinti sıkıntı
sanıye saniye
yila yıla
kulubunu kulübünü
kalmıs kalmış
aln alan
ruya rüya
hıcbır hiçbir
cocuklariyla çocuklarıyla
all al
cocuklarini çocuklarını
ner ne
carpma çarpma
altindaydi altındaydı
karsılamadı karşılamadı
cocuklarina çocuklarına
gosterilmis gösterilmiş
yerlestirilmis yerleştirilmiş
alınmıs alınmış
takıldıgım takıldığım
nee ne
deyil değil
duzgun düzgün
sıkılıyosunuz sıkılıyorsunuz
ınsanlarıyız insanlarıyız
berbatti berbattı
yansitiyor yansıtıyor
türkiyedeki Türkiye'deki
colanın Cola
aki akü
olanagi olanağı
calısmıslar çalışmışlar
gıtsem gitsem
dolasip dolaşıp
sayili sayılı
arkdaşı arkadaşı
gittigimize gittiğimize
gelmisken gelmişken
performansdan performanstan
hatirlamiyorum hatırlamıyorum
gelınce gelince
olmz olmamız
bocegi böceği
amlamda anlamda
zanan zaman
karekterleri karakterleri
sirinler şirinler
yikan yıkan
scot Scott
baglantisi bağlantısı
sogudum soğudum
gıbı gibi
yegenım yeğenim
şolen şölen
sunuyolar sunuyorlar
kapşonlu kapüşonlu
ettigini ettiğini
agrıdı ağrıdı
tafsiye tavsiye
sürel sürekli
biçok birçok
kadinlar kadınlar
gelmedım gelmedim
kisacası kısacası
ahh ah
ettigimi ettiğimi
hisettiren hissettiren
kaskı kask
itamlarda ithamlarda
özellği özelliği
yaratilan yaratılan
emegi emeği
sirketleri şirketleri
baskin baskın
akti aktı
emege emeğe
oluyolar oluyorlar
seyahatın seyahatin
acelecılık acelecilik
oncelikle öncelikle
degisikligi değişikliği
caglar çağlar
age ege
mağlesef maalesef
beklemiyodum beklemiyordum
yasasin yaşasın
saniyorum sanıyorum
ızledığım izlediğim
ızleyen izleyen
hastasi hastası
bakinca bakınca
hepsı hepsi
erkege erkeğe
ebebeyn ebeveyn
turkiyedeki Türkiye'deki
varmiyor varmıyor
kiyafet kıyafet
katagorisi kategorisi
gittigimiz gittiğimiz
icerisine içerisine
sper süper
reklami reklamı
kugu kuğu
karisim karışım
karisik karışık
gecirebilirsiniz geçirebilirsiniz
isik ışık
istegim isteğim
anlayis anlayış
anlayip anlayıp
gidiyo gidiyor
varlıgına varlığına
muhattap muhatap
anlayin anlayın
shakespare Shakespeare
kırıklıgına kırıklığına
değik değil
yapmalisiniz yapmalısınız
islatan ıslatan
allaha Allah'a
cektik çektik
uyumlulugu uyumluluğu
muzıkler müzikler
abdnin Abd'nin
paraniz paranız
ızlemeyı izlemeyi
husran hüsran
yarisina yarısına
arkdaşa arkadaşa
birakilmiş bırakılmış
oyak oya
derinlesiyor derinleşiyor
paranin paranın
temasi teması
makınanın makinenin
füşünüyorum düşünüyorum
yasinda yaşında
detaylari detayları
amator amatör
sukran şükran
fılmlerı filmleri
firsatim fırsatım
beyendim beğendim
paylasarak paylaşarak
aci acı
yuzu yüzü
oyunc oyuncu
aliyorsunuz alıyorsunuz
yemın yemin
sayida sayıda
desdere testere
ileriki ilerideki
baglantili bağlantılı
gıttıgı gittiği
gelsın gelsin
diyalogun diyaloğun
kasli kaşlı
bombasi bombası
abo abi
degildir değildir
herkesın herkesin
sölen şölen
keliteli kaliteli
eglendiriyor eğlendiriyor
ızleyıcı izleyici
kalmasin kalmasın
degildim değildim
onerilir önerilir
gelır gelir
gelıp gelip
vemek vermek
gelın gelin
kisacasi kısacası
gordugun gördüğün
yukselten yükselten
gordugum gördüğüm
mücade mücadele
saglayamadık sağlayamadık
olen ölen
kirilmis kırılmış
dökümanların dokümanların
şidetle şiddetle
herekese herkese
yazilim yazılım
cekerek çekerek
assubay astsubay
seyiyle şeyiyle
olduça oldukça
dunya dünya
edebileceginiz edebileceğiniz
kubo Küba
cokca çokça
eksikdi eksikti
yorgunlugu yorgunluğu
gittigimde gittiğimde
britt brit
sunulmus sunulmuş
ıgrendım iğrendim
hıssettım hissettim
bayağ bayağı
kings King
degıldır değildir
yuzuklerin yüzüklerin
anlamiyorum anlamıyorum
seceneklerde seçeneklerde
yapayim yapayım
cıktıktan çıktıktan
boyunce boyunca
tasıyan taşıyan
cıktımı çıktımı
hafıf hafif
üzre üzere
tugce Tuğçe
etrafi etrafı
gıy giy
isci işçi
senelık senelik
daglari dağları
hatirlayip hatırlayıp
ıcınde içinde
baslayın başlayın
dicek diyecek
malesf maalesef
kalmiyo kalmıyor
gıdıp gidip
gorecek görecek
dokunus dokunuş
aksyion aksiyon
arkadaslarinin arkadaşlarının
güçünü gücünü
tutsuz tuzsuz
kalsin kalsın
kendınızden kendinizden
kampanyasi kampanyası
amaçli amaçlı
istilasi istilası
saticisi satıcısı
karisan karışan
yerlesim yerleşim
kacirmayin kaçırmayın
mantik mantık
etmıyordum etmiyordum
ızlemeye izlemeye
dianna Diana
olam olan
balka başka
soylenen söylenen
abartilmis abartılmış
konusup konuşup
gomlek gömlek
faciaydi faciaydı
almanyadaki Almanya'daki
mus muş
sikilmaz sıkılmaz
oldugun olduğun
rejisor rejisör
oldugum olduğum
testesteron testosteron
arkaşlar arkadaşlar
yasamadim yaşamadım
tesekürler teşekkürler
temali temalı
gecmisi geçmişi
ozcan Özcan
fılmlere filmlere
tamin tatmin
anlatıcak anlatacak
gdin gidin
nurgul Nurgül
cıkarsa çıkarsa
attıgı attığı
konustu konuştu
eglendirmek eğlendirmek
ozellıklerı özellikleri
ercih tercih
tarafimdan tarafımdan
bakilmadan bakılmadan
profosyonel profesyonel
sevmıyorum sevmiyorum
zamaniniza zamanınıza
sıkcı sıkıcı
balik balık
lütfenn lütfen
soze söze
begendiğim beğendiğim
salanır sallan
gidior gidiyor
scak sıcak
ısaretı işareti
mevisimi mevsimi
katlanilabilir katlanılabilir
daım daim
cekılmesı çekilmesi
geldigim geldiğim
verecem vereceğim
msj mesaj
trafikde trafikte
çogunu çoğunu
ınanın inanın
derım derim
koyuyo koyuyor
ıcerıgı içeriği
yapiyorsunuz yapıyorsunuz
kalirsa kalırsa
beya veya
biçak bıçak
mantarli mantarlı
gordugu gördüğü
gormuyorum görmüyorum
üzden yüzden
ucuyor uçuyor
sarhos sarhoş
odedık ödedik
çoguna çoğuna
geçiyo geçiyor
bayaa bayağı
stajer stajyer
koymayi koymayı
aldiklari aldıkları
ailerin ailelerin
rezıllık rezillik
ızlerım izlerim
adamin adamın
mrb merhaba
cıktıgı çıktığı
olacam olacağım
yazilar yazılar
yapcaklarını yapacaklarını
yazilan yazılan
mubarek mübarek
veremedigim veremediğim
degistigini değiştiğini
kiniyorum kınıyorum
ıcerısındekı içerisindeki
olmayi olmayı
karsilikli karşılıklı
sartlarda şartlarda
ılerleyen ilerleyen
gecirme geçirmez
yapalim yapalım
baglar bağlar
gorusumuz görüşümüz
dahas daha
miş mi
dencek denecek
kisimda kısımda
hayir hayır
stars star
harmon hormon
olacakmis olacakmış
fılmı filmi
çesitli çeşitli
olacagina olacağına
dahai daha
keloglan keloğlan
desarj deşarj
degerlerin değerlerin
ultimatom ültimatom
istiyodum istiyordum
aracini aracını
yuval tuval
gecistirilmis geçiştirilmiş
çitasi çıtası
bros broş
aracina aracına
komık komik
zamna zamana
avrupadan Avrupa'dan
arkasindan arkasından
mot motor
birlesince birleşince
mol mola
kapagina kapağına
uslübu üslubu
birlikde birlikte
kimligi kimlik
alamassınız alamazsınız
cektigim çektiğim
benı beni
konusmadan konuşmadan
eğelenceli eğlenceli
hatalari hataları
bıttı bitti
agzım ağzım
inanin inanın
cıkıyo çıkıyor
varmıs varmış
alakasiz alakasız
korumalari korumaları
arakdaş arkadaş
digger diğer
sovunu şovunu
ayrıyetten ayrıyeten
kaybolmus kaybolmuş
konusma konuşma
yesil yeşil
maaşallah maşallah
saatden saatten
bese beşe
dşünüyorum düşünüyorum
zonbi zombi
tartisilmaz tartışılmaz
noktasindaki noktasındaki
hayel hayal
bery bey
cıkardı çıkardı
batıyo batıyor
ettırdı ettirdi
koymasi koyması
geçisi geçişi
oynayip oynayıp
dönücez dön
kenarinda kenarında
kapaniyor kapanıyor
cekmıs çekmiş
bekleyıp bekleyip
sorf sörf
beğendğim beğendiğim
halki halkı
kalsaydim kalsaydım
surpriz sürpriz
ladar kadar
gercekden gerçekten
bekledigim beklediğim
dönücek dönecek
olmasn olmasın
malasef maalesef
goturuyor götürüyor
olmasi olması
kalktim kalktım
içn için
arkin arkın
yeterlı yeterli
bugune bugüne
sagdan sağdan
bogucu boğucu
hitab hitap
ozelligi özelliği
gözüksede gözük
farkılı farklı
özellikel özellikle
carpisma çarpışma
eklenınce eklenince
yukseklik yükseklik
gitmiycektim gitmeyecektim
olmasinin olmasının
gittigini gittiğini
bildigi bildiği
miz mi
hiçbi hiçbir
fikm film
basvurmak başvurmak
geciren geçiren
vucudu vücudu
cakmasi çakması
bakimli bakımlı
cadilik cadılık
mii mi
öutlaka mutlaka
bakımındna bakımından
konularinda konularında
gittigime gittiğime
gidiceksiniz gideceksiniz
yaratti yarattı
sons son
lambasi lambası
sunuldugu sunulduğu
orgusu örgüsü
berbarttı berbat
ıste işte
gecirdi geçirdi
düzgun düzgün
manta mantar
performansi performansı
gerekn gereken
benm ben
kavgasina kavgasına
superdi süperdi
ısmı ismi
berabat berbat
sandim sandım
zak uzak
benc bence
yapılacagını yapılacağını
anlayisina anlayışına
bena bana
guldur güldür
getirmisler getirmişler
eşy şey
ınatla inatla
gulduk güldük
hocasi hocası
çekılen çekilen
baslangıcı başlangıcı
giriyo giriyor
kiymetini kıymetini
pisman pişman
arabayi arabayı
guzele güzele
malatyada Malatya'da
elestırı eleştiri
oylesine öylesine
giitim gittim
oturucak oturacak
seklindeki şeklindeki
angii hangi
erkegin erkeğin
fılim film
megerse meğerse
süreya Süreyya
tabıkı tabii
gerci gerçi
cıkınca çıkınca
yuzunden yüzünden
biliçli bilinçli
bırazcık birazcık
eleştri eleştiri
mer merkez
davranıs davranış
edecegini edeceğini
olayi olayı
cekilmiş çekilmiş
süprizleri sürprizleri
kapiya kapıya
gerısı gerisi
macerasi macerası
vahsi vahşi
tezahurat tezahürat
olmali olmalı
ağıza ağız
gittigi gittiği
clup Club
hakkaten hakikaten
arkadşım arkadaşım
cyrstal Crystal
begenemedim beğenemedim
geregi gereği
bekletiler beklettiler
sunarim sunarım
varlıgı varlığı
fantastık fantastik
modelını modelini
halbu halbuki
lüfen lütfen
beim benim
yavaşca yavaşça
beklenenın beklenenin
zamam zaman
ayrinti ayrıntı
alıyo alıyor
bnece bence
yemegin yemeğin
toplandigi toplandığı
karsi karşı
yapacagınız yapacağınız
braz biraz
anlamıyosunuz anlamıyorsunuz
cihazi cihazı
seyehatleri seyahatleri
kapatiyor kapatıyor
sozler sözler
anliyorum anlıyorum
kizin kızın
kizil kızıl
sahıp sahip
hacemat hacamat
siradan sıradan
öreneğin örneğin
hatrina hatırına
kulübu kulübü
ız iz
konusan konuşan
muzikleri müzikleri
omuza omza
sunmus sunmuş
bitmesinede bitmesinde
duymamistim duymamıştım
vericeksiniz vereceksiniz
arabasi arabası
ıs iş
girisi girişi
ıp ip
mah mahalle
ık ilk
mad madde
medayada medyada
bırı biri
kisiyle kişiyle
kabarik kabarık
yaoan yapan
arkadasiniz arkadaşınız
belirtmistim belirtmiştim
enos Enes
dıyebılırım diyebilirim
görülmüs görülmüş
kardesimi kardeşimi
geciyo geçiyor
ınsalara inşalara
fuze füze
bakti baktı
kardesime kardeşime
biseksuel biseksüel
olaydik olaydık
çıkatma çıkartma
gladyator gladyatör
bılınmıyor bilinmiyor
ıstedım istedim
