ugradigim uğradığım
savasina savasına
izledigin izlediğin
yansittigini yansıttığını
olusturabiliyor oluşturabiliyor
bulandirmayi bulandırmayı
uniformayi üniformayı
cagin cağın
Idealist İdealist
inadina inadına
calisiliyor çalışılıyor
dalinda dalında
DESTEKÇISI DESTEKÇİSİ
manson manşon
dusundurmeden düşündürmeden
takimina takımına
cekicle çekiçle
koğustaki koğuştaki
calisilmamali çalışılmamalı
Bosnaklara Boşnaklara
çalisiliyor çalışılıyor
savasinda savaşında
inanilma inanılma
killica kıllıca
ice içe
Harekati Harekatı
dokturmus döktürmüş
bulanmadi bulanmadı
hastir hastır
ugrastim uğraştım
ilkı ilki
calisilmis çalışılmış
dakikasini dakikasını
surprizli sürprizli
kahramanim kahramanım
İNSALLAH İNŞALLAH
radariniza radarınıza
surprizle sürprizle
birlestirmis birleştirmiş
dakikasina dakikasına
vicik vıcık
ciksa çıksa
parlamamis parlamamış
hayrani hayranı
varmis varmış
gone göne
bosnaklari boşnakları
bagirip bağırıp
alamamisken alamamışken
komiklesmis komikleşmiş
romanini romanını
musriflik müsriflik
İrana Irana
planlanmisti planlanmıştı
delilige deliliğe
Irlanda İrlanda
iyis iyiş
calisir çalışır
atiliyor atılıyor
Açlik Açlık
standardina standardına
ayicigin ayıcığın
calisilan çalışılan
basli başlı
Ines İnes
beslendigi beşlendiği
razi razı
kurbani kurbanı
sinemacilar sinemacılar
sayilarla sayılarla
savascı savaşçı
FİLMIN FİLMİN
savasin savasın
atlamamali atlamamalı
dolandiricilik dolandırıcılık
kaptiriyor kaptırıyor
performansindan performansından
bogan boğan
kararlari kararları
savasmayi savaşmayı
hayranlikla hayranlıkla
safagı şafağı
drami dramı
kemige kemiğe
insanoglunun insanoğlunun
goturemedim götüremedim
düsürmüs düşürmüş
dagitima dağıtıma
bozulmasin bozulmasın
düsüncesi düşüncesi
CIRKINLIKTE ÇİRKİNLİKTE
askida askıda
yaraliyor yaralıyor
kiriyor kırıyor
olmadigin olmadığın
harmanlanmis harmanlanmış
Ingrid İngrid
BELLI BELLİ
birlestiren birleştiren
cıgır çığır
dokundurmus dokundurmuş
figuran figüran
depresıf depresif
kararli kararlı
dakikami dakikamı
babasi babası
Idol İdol
hayranligi hayranlığı
sarmadi sarmadı
sansi şansı
baskasimi başkasımı
atlamadim atlamadım
ölcüde ölçüde
basvursa başvursa
ucmalar uçmalar
ARASTIRSIN ARAŞTIRSIN
bakiminda bakımında
tirmanip tırmanıp
takima takıma
kalindigi kalındığı
Stiler Ştiler
kapismasi kapışması
gucludur güçlüdür
depresip depreşip
Comer Çömer
sinemasi sineması
Destin Deştin
begenirsem beğenirsem
dramasina dramasına
çalismadan çalışmadan
dusundurur düşündürür
atinca atınca
basarmis basarmış
Istila İstila
bogulurum boğulurum
attiriyor attırıyor
sapigin sapığın
travmasini travmasını
cambazi cambazı
ciyi çiyi
tutamadim tutamadım
beceremedigin beceremediğin
ucgenine üçgenine
yansitmasi yansıtması
çagin çağın
bısıler bişiler
irmagin ırmağın
rahıbe rahibe
pismanligi pişmanlığı
andiriyor andırıyor
jonse jönse
Universal Üniversal
isikla ışıkla
adamim adamım
turkle türkle
savasmasi savaşması
dayanismasi dayanışması
adimini adımını
basrolde başrolde
doken döken
eksiside ekşiside
cıgı çiği
performanslariyla performanslarıyla
kagidina kağıdına
yansitmadigina yansıtmadığına
saldiriyor saldırıyor
acidim acıdım
ırkcı ırkçı
hastaligimiza hastalığımıza
efektci efektçi
cekilse çekilse
üstunde üstünde
çalisildigi çalışıldığı
LI Lİ
FATIH FATİH
inandirici inandırıcı
ıyorum iyorum
agabey ağabey
zip zıp
Igor İgor
mantiga mantığa
Kralligi Krallığı
miles mileş
ayidan ayıdan
grafigi grafiği
ugras uğraş
KI Kİ
tirmanirken tırmanırken
yaraticisindan yaratıcısından
yarislarda yarışlarda
kalicidir kalıcıdır
kosturur koşturur
dogalligi doğallığı
omrum ömrüm
Piscine Pisçine
dedigime dediğime
It İt
Is İş
satisa satışa
Ip İp
vermisken vermişken
atliyor atlıyor
muzipligine muzipliğine
cıka çıka
ugratan uğratan
olabildigine olabildiğine
parladi parladı
edinmistir edinmiştir
insanligin insanlığın
tı ti
gelenegin geleneğin
kostururken koştururken
baslasin başlasın
basini basını
çalisir çalışır
çalisip çalışıp
komutani komutanı
azinligin azınlığın
komunizmden komünizmden
romanlarinda romanlarında
Pur Pür
duralim duralım
sancagimizi sancağımızı
yasina yaşına
sinemacisi sinemacısı
kistas kıstas
disaridan dışarıdan
dediğı dediği
İii Iıı
basarmisti başarmıştı
orgusunde örgüsünde
kizdim kızdım
çagda çağda
FILMIN FİLMİN
calistim çalıştım
fragmanini fragmanını
acidi acıdı
inancini inancını
EVIM EVİM
ispatliyor ispatlıyor
tamamini tamamını
oksayan okşayan
basrolleri başrolleri
inancina inancına
ugrasmasin uğraşmasın
sivasa sıvasa
komunizme komünizme
ayirip ayırıp
oracikta oracıkta
savaşcı savaşçı
sayikliyor sayıklıyor
gumburtuye gümbürtüye
Savasimizin Savasımızın
açimdan açımdan
iskembe işkembe
ciksin çıksın
tirmanisa tırmanışa
kivrak kıvrak
civil çıvıl
direnişci direnişçi
çalismasi çalışması
sunlar şunlar
kirsal kırsal
kalaninda kalanında
yasin yasın
sinemaninkinden sinemanınkinden
verecegine vereceğine
performanslarini performanslarını
tutalim tutalım
ucagin uçağın
performanslarina performanslarına
Harari Hararı
ugrariz uğrarız
çalistim çalıştım
basariyor başarıyor
adamina adamına
kaptirip kaptırıp
saçmaligin saçmalığın
Dollun Döllün
dagilimi dağılımı
atlasana atlaşana
kardeslige kardeşliğe
baslangicina başlangıcına
Virmani Virmanı
alamamis alamamış
inadinda inadında
aslansin aşlansın
asayi asayı
aniliyor anılıyor
opusmesi öpüşmesi
yasanmisligin yaşanmışlığın
askla aşkla
yaralanir yaralanır
yaziminda yazımında
ağiz ağız
bitiris bitiriş
begenememe beğenememe
zamanim zamanım
ağit ağıt
acidan açıdan
kovaliyor kovalıyor
siritma sırıtma
dogumdan doğumdan
fragmani fragmanı
çektigin çektiğin
ISE İŞE
ambiyansi ambiyansı
sanirsam sanırsam
muslumanim müslümanım
sto stö
nasildi nasıldı
gulmem gülmem
ugrasi uğrası
nasilda nasılda
bunaltiyor bunaltıyor
satirlari şatırları
doguyor doğuyor
kiracisini kiracısını
begenseler beğenseler
begendigi beğendiği
açiga açığa
mirasi mirası
Islami İslamı
arastirmaya araştırmaya
alamadigim alamadığım
Cinselligin Cinselliğin
ozelligine özelliğine
ilgınç ilginç
Yeraltindan Yeraltından
sayilan sayılan
polemige polemiğe
self şelf
mazosist mazoşist
Basroller Başroller
oyugunda oyuğunda
alakasizdi alakasızdı
evliligin evliliğin
çalisilan çalışılan
viyi vıyı
jurisi jürisi
kazinan kazınan
alir alır
yaraticilikta yaratıcılıkta
vardigim vardığım
götlu götlü
bitirilis bitiriliş
demissiniz demişsiniz
danslari dansları
kizmasin kızmasın
Imogen İmogen
cerezini çerezini
begenilir beğenilir
imajina imajına
begenilip beğenilip
artmis artmış
skandali skandalı
tutundugu tutunduğu
planlari planları
inanilmasi inanılması
metalastiran metalaştıran
gıse gişe
detayin detayın
dramin dramın
Iris İris
Jonesin Jönesin
sinemaci sinemacı
Hafizamdan Hafızamdan
Landi Landı
ugramis uğramış
grafıgını grafiğini
cevigin çeviğin
enstrumental enstrümental
amatorlukten amatörlükten
yunani yunanı
degistirmeli değiştirmeli
dusurun düşürün
dune düne
safak şafak
kapisma kapışma
obasini obasını
sariyor sarıyor
siralara sıralara
hir hır
host höst
insanoglu insanoğlu
aniriyor anırıyor
parcayi parçayı
dayanirsin dayanırsın
çikarip çıkarıp
gulemedim gülemedim
begenip beğenip
işcilik işçilik
goyer göyer
Basrollerde Başrollerde
ıyıde iyide
Suit Süit
com çöm
dublorsüz dublörsüz
asçi aşçı
cisten çişten
baslayin başlayın
hastalıga hastalığa
tamaminda tamamında
yakistiriyor yakıştırıyor
kalisini kalışını
urkmezdim ürkmezdim
kulturde kültürde
sasiran şaşıran
yalcini yalçını
kirarsin kırarsın
Gorsellikten Görsellikten
Idrıs İdris
ılgı ilgi
begenilmesin beğenilmesin
Sisirip Şişirip
kalakaliyor kalakalıyor
costu coştu
stari starı
babasini babasını
sinifina sınıfına
Nature Natüre
sadeligine sadeliğine
babasina babasına
sınemalara sinemalara
kaktim kaktım
avradini avradını
mac maç
andiran andıran
baslasa başlaşa
dusundurmedi düşündürmedi
tasir taşır
destanlarimizi destanlarımızı
gorelim görelim
atalim atalım
serpistirdigi serpiştirdiği
destanlarimiza destanlarımıza
icmis içmiş
oven öven
Lesli Leşli
basarmistir basarmıştır
hasilati hasılatı
yaraticiyi yaratıcıyı
disin dışın
isirtiyor ısırtıyor
ogeler ögeler
kapisip kapışıp
yardirmayalim yardırmayalım
performansinin performansının
coksa çoksa
sanirim sanırım
aranir aranır
atlamasini atlamasını
mirac miraç
duragan durağan
CALISTIKLARI ÇALIŞTIKLARI
sansli şanslı
gorsellikler görsellikler
dagliyor dağlıyor
firsatini fırsatını
sanatin sanatın
kasiliyor kasılıyor
bogure böğüre
kacabiliyor kaçabiliyor
sifalan şifalan
zekasini zekasını
zombıler zombiler
utopyada ütopyada
kararidir kararıdır
zekasina zekasına
Over Över
attilarsa attılarsa
kiymayin kıymayın
yazilara yazılara
calismislar çalışmışlar
Ones Öneş
hastaligin hastalığın
siritan sırıtan
kararimi kararımı
yaridan yarıdan
yakistirabiliyor yakıştırabiliyor
sir sır
ozentili özentili
dallari dalları
sorguladim sorguladım
ih ıh
değıcı değici
UCLA UÇLA
SISTEMI SİSTEMİ
atlatamadim atlatamadım
yiktim yıktım
bulasmam bulaşmam
anani ananı
yansitmis yansıtmış
bulandirmadan bulandırmadan
PARTINI PARTİNİ
kralini kralını
calisiyor çalışıyor
Ciristin Çiriştin
performansiyla performansıyla
bitisi bitişi
yansitir yansıtır
yansitip yansıtıp
Harlin Harlın
yansitin yansıtın
karnindan karnından
düsüp düşüp
namazim namazım
alikoyamadim alıkoyamadım
masalsi masalsı
biricigin biriciğin
birlesip birleşip
olanlardir olanlardır
daraldim daraldım
aliriz alırız
gormesin görmesin
ekşıni ekşini
Sia Şia
hayâldi hayâldı
Avi Avı
düsüsü düşüşü
Iftar İftar
ibrani ibranı
gidisati gidişatı
kult kült
ostrojen östrojen
Savasimizi Savaşımızı
surlarin surların
alikoyamadigim alıkoyamadığım
come çöme
askiya askıya
NINE NİNE
kuralin kuralın
adamcagiza adamcağıza
dımı dimi
fiskiriyor fışkırıyor
fragmanindan fragmanından
çadirinda çadırında
anilmasi anılması
Ambulanssiz Ambulanssız
FİLMI FİLMİ
gorseline görseline
hafizani hafızanı
dallas dallaş
ask aşk
girecegine gireceğine
destansi destansı
yariscisi yarışçısı
atlamasi atlaması
kirip kırıp
seyiler şeyiler
saptiriyor saptırıyor
gencine gençine
cole çöle
Stolen Stölen
begenirim beğenirim
formatini formatını
kalanini kalanını
ajanslarin ajansların
Basrollerinde Başrollerinde
zamanima zamanıma
yaratamamis yaratamamış
yandas yandaş
du dü
bakariz bakarız
tarzim tarzım
sanatini sanatını
capkinlikla çapkınlıkla
yermis yermiş
başladim başladım
Ilgınc İlginç
calinmis çalınmış
sanatina sanatına
hizda hızda
romaninda romanında
baslangictan başlangıçtan
arıfın arifin
catilara çatılara
düsünmüs düşünmüş
çalismis çalışmış
cirkinde çirkinde
oynadim oynadım
savasmak savaşmak
ugrasin uğraşın
hattindan hattından
naturellikte natürellikte
Caren Çaren
orup örüp
BILINCALTIMIZA BİLİNÇALTIMIZA
vip vıp
Dude Düde
öpüsme öpüşme
Insani İnsani
kapismasina kapışmasına
çuk çük
isigin ışığın
radarimda radarımda
Intern İntern
Insana İnsana
Günşiray Günşıray
panoramasi panoraması
firsatçi fırsatçı
Oynadigim Oynadığım
Florence Flörence
tattigi tattığı
batmaninkiler batmanınkiler
elıt elit
calisinca çalısınca
destanlarindan destanlarından
Damarlarinda Damarlarında
Catman Çatman
öc öç
kugulanamamis kuğulanamamış
superın süperin
Agriyana Ağrıyana
ulkemin ülkemin
dermani dermanı
faktoru faktörü
sad şad
edindigi edindiği
bittigine bittiğine
yansitamamis yansıtamamış
isinlanan ışınlanan
alirken alırken
baltaliyor baltalıyor
performanslarindan performanslarından
cök çök
gercegin gerçeğin
baskinindaki baskınındaki
konusabilse konuşabilse
sordurdugunda sordurduğunda
hâlini hâlını
hicte hiçte
sayilamayan sayılamayan
Davisin Davısın
icerigine içeriğine
icsin içsin
Barbarin Barbarın
zamanimiza zamanımıza
sinemalik sinemalık
kardesin kardeşin
ustaligin ustalığın
ömur ömür
gıbi gibi
