Keıra Keira
gögüsler göğüsler
Comar Çomar
Talkin Talkın
kiç kıç
larını larini
kulli külli
sinma sınma
Olsen Ölsen
Agus Aguş
Şasmaz Şaşmaz
geliştikce geliştikçe
buluğ büluğ
FINK FİNK
Cığacı Çığacı
işleyisi işleyişi
ıspatladığı ispatladığı
dedığim dediğim
kırılımı kirilimi
Savini Savını
Gigi Gıgı
Amerikali Amerikalı
hukümetinin hükümetinin
tiriviri tırıvırı
Macon Maçon
Akima Akıma
Borte Börte
Hardi Hardı
Feramus Feramuş
enstrumanlarını enstrümanlarını
müzikalın müzikalin
gösterişci gösterişçi
dislike dişlike
firkateyni fırkateyni
taki takı
imizi ımızı
Ingilizce İngilizce
Baylin Baylın
genciyle gençiyle
promiyerini prömiyerini
MIT MİT
Ian İan
des deş
gerceği gerçeği
Sarkis Sarkış
Hatırlasana Hatırlaşana
Nazimsi Nazımsı
Tusen Tuşen
Icar İcar
çağırısını çağırışını
cayır çayır
ıspatlayan ispatlayan
Iyi Iyı
Darin Darın
Halali Halalı
cekişen çekişen
sinamaya sınamaya
Ingilizlerin İngilizlerin
eşkiyaları eşkıyaları
kokorece kokoreçe
sıydı siydi
Istvan İstvan
aras araş
Köscü Kösçü
dışılığı dişiliği
Ignacio İgnacio
formulünün formülünün
ladığını ladiğini
selfi şelfi
biçilmis biçilmiş
cingıllarından çıngıllarından
misalı misali
saşkın şaşkın
Ismael İsmael
Susumu Süsümü
Gamin Gamın
Callas Çallaş
tuvalinin tuvalının
Iyilik İyilik
gore göre
katarsisimiz katarsısımız
minimalliği minimallığı
birtakim birtakım
kendisı kendisi
luğunun lüğünün
Sian Şian
kıkır kikir
fallik fallık
duşürmediği düşürmediği
geçisinde geçişinde
akibetinin akıbetinin
gencimiz gençimiz
Iş İş
Süpheliler Şüpheliler
umitsiz ümitsiz
Barkin Barkın
Visar Vışar
manın manin
Rüyalarin Rüyaların
Atir Atır
ulusca ulusça
ir ır
Ivy İvy
Indi İndi
Tardi Tardı
verisleri verişleri
Izci İzci
yönetmenligi yönetmenliği
Sandin Sandın
Hassani Hassanı
cografyasinda coğrafyasında
canlandirmaya çanlandırmaya
girmistir girmiştir
ları lari
coğunluğu çoğunluğu
kırılım kirilim
Gudule Güdüle
Casar Çasar
eşkiyadan eşkıyadan
oldürülebileceğine öldürülebileceğine
suikastı suikasti
şemali şemalı
hakikatı hakikati
Adir Adır
savunmasi savunması
Ince İnce
Gasılhaneden Gasilhaneden
ların larin
Gozer Gözer
Isaac İsaac
islah ıslah
coğunluğa çoğunluğa
Pirinçci Pirinççi
Agrin Ağrın
Ister İster
prologunda proloğunda
Ozpetek Özpetek
Ute Üte
Isten İsten
arastirabiliriz araştırabiliriz
katarsisi katarsısı
Bog Böğ
Eşkiya Eşkıya
açısısıyla açışışıyla
eşekcik eşekçik
Incite İncite
Bacca Baçça
kulubeye kulübeye
Sinaması Sınaması
EDI EDİ
İRA IRA
ortasiklet ortasıklet
dolayısı dolayışı
suyuyla şüyuyla
örnegi örneği
Asami Asamı
sempatizani sempatizanı
tuvalin tuvalın
Togan Toğan
Patti Pattı
şakırt şakirt
hoyratca hoyratça
nizami nizamı
rapçi rapçı
dublajlıydi dublajlıydı
canlandiran canlandıran
gencin gençin
cinliğini çınlığını
kısılıydık kişiliydik
lının linin
kısırlı kışırlı
Esca Eşca
Isa İsa
başucumda başuçumda
yekun yekün
Cuvalda Çuvalda
hanidir hanıdır
asna aşna
carpışma çarpışma
Şovalyeleri Şövalyeleri
gosterdiği gösterdiği
çalışiyor çalışıyor
Idefiks İdefiks
Carina Carına
isçileriyle işçileriyle
Şakir Şakır
Koldas Koldaş
Vahina Vahına
ekşın ekşin
Comencini Çömencini
Karasakal Karaşakal
sollamıs sollamış
bicili bıcılı
oğrensem öğrensem
Zarina Zarına
radikallik radikallık
izlediğım izlediğim
peluş pelüş
akibeti akıbeti
une üne
kıralamayacak kiralamayacak
luğu lüğü
Ozun Özün
almas almaş
Lupe Lüpe
Berkun Berkün
yollasana yollaşana
Antti Anttı
fotografçılığı fotoğrafçılığı
ögütleyen öğütleyen
çöktügü çöktüğü
Kami Kamı
Elles Elleş
cileri çileri
sundaki şundaki
sipaydi sıpaydı
madığı madiği
monologa monoloğa
Asif Asıf
kotülük kötülük
Tintin Tıntın
monologunu monoloğunu
ciğim çiğim
liği lığı
marjinalliği marjinallığı
çigi çığı
katarsisin katarsısın
baslayalım başlayalım
Yesilbas Yeşilbaş
Yutani Yutanı
madığını madiğini
Insanlar İnsanlar
lugata lügata
simulasyonlarla simülasyonlarla
marjinallik marjinallık
Il İl
Cogan Çoğan
içerisisinde içerişişinde
Ingiltere İngiltere
Sivana Sıvana
Izlediğim İzlediğim
Irakli Iraklı
Ig İğ
Şehsuvar Şehsüvar
eşkiyalığı eşkıyalığı
Tıpki Tıpkı
nuanslı nüanslı
Studyoları Stüdyoları
kurtun kürtün
mubahtır mübahtır
Inanılması İnanılması
yoklasana yoklaşana
brokerını brokerini
muhtacız muhtaçız
diyalogundan diyaloğundan
duyduklari duydukları
produksiyon prodüksiyon
fotografçısı fotoğrafçısı
Zsófıa Zsófia
nasihatim nasihatım
Irene İrene
Korine Körine
idolleşiyorlardı idolleşiyorlardi
fılmleri filmleri
Lulu Lülü
kitliyor kıtlıyor
Sipe Şipe
hırkasiyla hırkasıyla
Markina Markına
soyler söyler
Yalini Yalını
gecinden geçinden
Aciman Acıman
ıncığının inciğinin
katılabilirdı katılabilirdi
Nacarlara Naçarlara
