simdikilerde şimdikilerde
dövüsüyorlardi dövüşüyorlardı
düsünülebilirdi düşünülebilirdi
bosver boşver
çalisilmis çalışılmış
erkaninin erkanının
kullanisindaki kullanışındaki
bozmayin bozmayın
cocuklugumdan çocukluğumdan
disaridan dışarıdan
aşagilayan aşağılayan
irmagin ırmağın
devşirmisler devşirmişler
saklabanlik şaklabanlık
taktigimi taktiğimi
agliyorlardi ağlıyorlardı
Sagan Sağan
tutuklandigini tutuklandığını
kalicidir kalıcıdır
yapmissin yapmışsın
ork örk
kurtulamamis kurtulamamış
gosterımde gösterimde
asagilayan aşağılayan
kirikligindan kırıklığından
merakinizi merakınızı
ögrenmeseydim öğrenmeseydim
yaratmişlar yaratmışlar
yuregimle yüreğimle
Miamı Miami
saygimdan saygımdan
çikali çıkalı
kazandigi kazandığı
sinmasına sınmasına
karsiligi karşılığı
mukemmelde mükemmelde
tiriviri tırıvırı
formatimizin formatımızın
düsürdügünü düşürdüğünü
basaramamislar başaramamışlar
sansli şanslı
yapanin yapanın
biliyorcasina biliyorcasına
barindirdigi barındırdığı
bırakmadıgı bırakmadığı
kliseyi klişeyi
avradini avradını
inancindayim inancındayım
tabelasini tabelasını
gunluklerinden günlüklerinden
efektlı efektli
cektiği çektiği
bombadir bombadır
miyavladiginin miyavladığının
dedığim dediğim
ogullardan oğullardan
tutmamin tutmamın
sarkisini şarkisini
tamamlayamazsiniz tamamlayamazsınız
cecen çeçen
karsilanmadi karşılanmadı
ağladigimi ağladığımı
misirinizi mısırınızı
rasim raşim
anlamanizi anlamanızı
urkmezdim ürkmezdim
fılmin filmin
izledigimizi izlediğimizi
icindesiniz içindesiniz
yasasaydik yaşasaydık
Varmısın Varmışın
yapmıssın yapmışsın
anildigini anıldığını
sergılemıs sergilemiş
atlanmis atlanmış
inancini inancını
Ido İdo
LIMITLI LİMİTLİ
tragedyasinda tragedyasında
yavaslatilmis yavaşlatılmış
usse üsse
farsi farsı
inancina inancına
Idi İdi
kizimiz kızımız
sinemacisi sinemacısı
disa dışa
daglarinda dağlarında
girecegine gireceğine
düsünerek düşünerek
Civil Cıvıl
Şovalyeleri Şövalyeleri
yargiladiklarini yargıladıklarını
yansitmanin yansıtmanın
dagitima dağıtıma
cektirmisler çektirmişler
Eşkiyadaki Eşkıyadaki
esinlenildigini esinlenildiğini
yakistiramiyorum yakıştıramıyorum
kötülendigini kötülendiğini
nitelendiremedigim nitelendiremediğim
bayilan bayılan
Ice İçe
vardigim vardığım
Izlenilecek İzlenilecek
yukseklerdeydi yükseklerdeydi
dolmussunuzdur dölmüşsünüzdür
iddiasi iddiası
guldurdun güldürdün
hayrani hayranı
getirildigini getirildiğini
Coğunluğun Çoğunluğun
karsisina karşısına
geçmislerine geçmişlerine
iranın ıranın
yikaniyor yıkanıyor
önceliginin önceliğinin
karsilamadigini karşılamadığını
somurusu somuruşu
anlatilmiş anlatılmış
izlenır izlenir
veremedigini veremediğini
gosterilecek gösterilecek
genclestirseydiniz gençleştirseydiniz
BITMEYEN BİTMEYEN
agidi ağıdı
Istanbuldakilere İstanbuldakilere
İisiydi Iısıydı
yanarim yanarım
heyecanliydi heyecanlıydı
Izmır İzmir
basroldekiler başroldekiler
Ian İan
uçmadi uçmadı
farkliliklarin farklılıkların
kiyafetlerinden kıyafetlerinden
koltugunuza koltuğunuza
arabalarini arabalarını
cekerdim çekerdim
yönettigi yönettiği
korkmusumdur korkmuşumdur
duygusalliklari duygusallıkları
yapraklarini yapraklarını
gomulmus gömülmüş
ozenmis özenmiş
arananlari arananları
donmesinden dönmesinden
tasiyicisi taşıyıcısı
TEBRIK TEBRİK
Fragmaninin Fragmanının
baglamis bağlamış
yaralari yaraları
akıcılik akıcılık
anlasılması anlaşılması
yarislarda yarışlarda
yitirdigi yitirdiği
klisesi klişesi
gelecegine geleceğine
Senaryolarinizi Senaryolarınızı
Dövüsler Dövüşler
yilin yılın
harptır harptir
Agus Aguş
muslumun muşlumun
sanariz sanarız
sunmalisiniz sunmalısınız
irina ırına
fragmanindan fragmanından
havadaydi havadaydı
yogunlasamıyorum yoğunlaşamıyorum
ovulmesi övülmesi
sişesini şişesini
alacagi alacağı
baskasiyla başkasıyla
fethetmis fethetmiş
takima takıma
siralamasina sıralamasına
tasiyamiyor taşıyamıyor
acilar açılar
Masina Maşına
ınsani insani
bolunerek bölünerek
begeneceginiz beğeneceğiniz
Olmamista Olmamışta
kisirligini kısırlığını
yansitiyormus yansıtıyormuş
Issiz İşsiz
yapabiliyormusuz yapabiliyormuşuz
bakiminda bakımında
agladim ağladım
agladik ağladık
sözlu sözlü
inandiriciliktan inandırıcılıktan
kusaklar kuşaklar
akiciliktan akıcılıktan
cektikleri çektikleri
tanimayanlar tanımayanlar
soludugu soluduğu
coskusunu coşkusunu
hayalkirikligina hayalkırıklığına
hatirlanan hatırlanan
yargiç yargıç
agzimiza ağzımıza
çeliskili çelişkili
okusaydim okusaydım
Zsófıa Zsófia
fotograflamayı fotoğraflamayı
oho öhö
dusuge düşüğe
civileyecek çivileyecek
yaratirken yaratırken
ruhlari ruhları
yakisir yakışır
dostlugu dostluğu
şemalimiz şemalımız
dönüsmüs dönüşmüş
Cumhuriyetci Cumhuriyetçi
BILİMKURGU BİLİMKURGU
kitligi kıtlığı
izlemedım izlemedim
basladigi başladığı
oge öğe
fotografin fotoğrafın
sorunlarindan sorunlarından
yaptirdigindan yaptırdığından
inandırıcıliği inandırıcılığı
gördügünüz gördüğünüz
fotografik fotoğrafik
Ute Üte
çevrilmis çevrilmiş
alirsiniz alırsınız
yansitmadigina yansıtmadığına
dovdüğü dövdüğü
büyügünüzle büyüğünüzle
asinaligimin aşinalığımın
Olsen Ölsen
imajimiz imajımız
dayanincaya dayanıncaya
odaklaniyor odaklanıyor
durmanizi durmanızı
degerlendirmelere değerlendirmelere
duygularınızi duygularınızı
yiksalardi yıksalardı
deginmeme değinmeme
Izlemeye İzlemeye
ögreniyor öğreniyor
karsimda karşımda
oynanir oynanır
aydayiz aydayız
izlemenızı izlemenizi
acısi açısı
yapmaciklik yapmacıklık
altiniza altınıza
oyunculugunun oyunculuğunun
BIRI BİRİ
karsılamısken karşılamışken
Atir Atır
anlatilmis anlatılmış
yaslandiktan yaslandıktan
fedakarligi fedakarlığı
Süpheliler Şüpheliler
etkilenilmis etkilenilmiş
sucluyu suçluyu
adlandirip adlandırıp
sıkılmayin sıkılmayın
baltaliyor baltalıyor
şartlarin şartların
fedakarliga fedakarlığa
Yemyesil Yemyeşil
harcayacaginiz harcayacağınız
yargim yargım
cekeceksen çekeceksen
kazanalim kazanalım
girmemis girmemiş
bekledigi beklediği
resmetmisler resmetmişler
klasigi klasiği
bıcır biçir
bulacaktir bulacaktır
klasige klasiğe
aranirken aranırken
yaratilarak yaratılarak
Savasimizi Savaşımızı
yapmışi yapmışı
firtinası fırtınası
yapacaktir yapacaktır
öldügünü öldüğünü
açiklayabiliyorum açıklayabiliyorum
puanimi puanımı
gerizekali gerizekalı
farkindaligi farkındalığı
götürdügünün götürdüğünün
Gözyaşlarıniza Gözyaşlarınıza
Olumunden Ölümünden
calisiyor çalışıyor
gecisler geçişler
farkindaliga farkındalığa
ruscasin rusçasın
fantastiklestirilmis fantastikleştirilmiş
yapımcılıgını yapımcılığını
Ivory İvory
aksıme aksime
egirilmesi eğirilmesi
bayilarak bayılarak
baglamak bağlamak
heyecanlilar heyecanlılar
bekledigini beklediğini
kirikligina kırıklığına
odaklanilsa odaklanılsa
ugurun uğurun
fiskiriyor fışkırıyor
zayifligi zayıflığı
hazzi hazzı
siklette sıklette
çikarildigini çıkarıldığını
sanatçinin sanatçının
Schroder Schröder
dinledigim dinlediğim
AYIRMADIGI AYIRMADIĞI
akışkanlıgı akışkanlığı
yavandi yavandı
tasiyin taşıyın
bekledigime beklediğime
doymus doymuş
cıraklık çıraklık
kesfedilen keşfedilen
gencin gençin
gıtmezseniz gitmezseniz
sancaği sancağı
saclarini saclarını
netlesmeden netleşmeden
caylaklar çaylaklar
saklabanliklar şaklabanlıklar
vuracaginizdan vuracağınızdan
etkılendıgım etkilendiğim
sergilemisler sergilemişler
efektci efektçi
sahsiyetin şahsiyetin
katmistir katmıştır
helakını helakini
Kurgulanmasi Kurgulanması
kipa kıpa
becerdiginiz becerdiğiniz
kücükler küçükler
Halkca Halkça
hissettirememisler hissettirememişler
bunalimlarindan bunalımlarından
dövmüs dövmüş
yagliyim yağlıyım
yapimcisi yapımcısı
cenemde çenemde
kullanilişini kullanılışını
tuylerimi tüylerimi
cekilirken çekilirken
göluk gölük
BIZDE BİZDE
butcesi bütçesi
zulmunü zulmünü
İzledigime İzlediğime
geceninin geçeninin
bulundurmamiz bulundurmamız
populist popülist
yasatir yasatır
bitiris bitiriş
cikartmislar çıkartmışlar
calısmadan çalışmadan
sonrasini sonrasını
sokuldugu söküldüğü,sokulduğu
yaşatmamis yaşatmamış
yansitir yansıtır
yansitip yansıtıp
yansitin yansıtın
takintisi takıntısı
cinliğini çınlığını
yakaladigi yakaladığı
anlasilmazdi anlaşılmazdı
siksa sıksa
Sanimiz Sanımız
çalisiyoruz çalışıyoruz
cikmak çıkmak
oğrensem öğrensem
işikcilari ışıkçıları
kitabindaki kitabındaki
dayanamadi dayanamadı
BILE BİLE
anlasilamayan anlaşılamayan
tekrarlarini tekrarlarını
seklinden şeklinden
Yanarin Yanarın
bitmisiniz bitmişiniz
çikarirdim çıkarırdım
gulmekten gülmekten
kavusmaydi kavuşmaydı
şasırtan şaşırtan
gecmiste geçmişte
mutlulugumu mutluluğumu
düsünürken düşünürken
kaybindan kaybından
duraganlik durağanlık
Marsiyla Marsıyla
çikmiş çıkmış
ugrasmasin uğraşmasın
hicbirine hiçbirine
dalmisti dalmıştı
muziklerden müziklerden
butunlugu bütünlüğü
yüzyil yüzyıl
edinmistir edinmiştir
yansimasi yansıması
bagirmasa bağırmasa
cikarmislar çıkarmışlar
yazilabilirdi yazılabilirdi
yakalayamadilar yakalayamadılar
acitmasi acıtması
çalışmiştir çalışmıştır
evrimlesmedigini evrimleşmediğini
kurabildiginiz kurabildiğiniz
tartismiyorum tartışmıyorum
yansıttıgını yansıttığını
kutladik kutladık
saglicakla sağlıcakla
kostümsuz kostümsüz
EKSIKLIKLER EKSİKLİKLER
acikta açıkta
alisilmadik alışılmadık
kuralinin kuralının
saskiniz şaşkınız
Ingilizce İngilizce
acisiyla açışıyla
agzindan ağzından
gulmedik gülmedik
yetistirdiği yetiştirdiği
yasiyorsun yasıyorsun
unutmayacagiz unutmayacağız
anlatilmak anlatılmak
kayitlara kayıtlara
ISE İŞE
karayip karayıp
sakina şakına
degerlendirilmelidir değerlendirilmelidir
yapımcilara yapımcılara
sıydı siydi
becerememistir becerememiştir
OYSAKI OYSAKİ
unutmayacagim unutmayacağım
açiklanan açıklanan
heyecanlanmadigim heyecanlanmadığım
kinamayi kınamayı
ogeleriyle ögeleriyle
basvursa başvursa
saçmaliklardan saçmalıklardan
almisken almışken
zulmunu zulmünü
duygusallik duygusallık
asamasıdır aşamasıdır
kirarken kırarken
ugrasmislar uğraşmışlar
AĞLADİM AĞLADIM
yaniltmak yanıltmak
artirmis artırmış
öldürüldüğünu öldürüldüğünü
Basrollerde Başrollerde
icermesi içermesi
ustlenmis üstlenmiş
anlatilmamisti anlatılmamıştı
olustugunu oluştuğunu
kliselerini klişelerini
düsecektir düşecektir
egitimini eğitimini
kliselerine klişelerine
yapimcina yapımcına
sakatlarini sakatlarını
delırmesı delirmesi
günümüzu günümüzü
fılmdır filmdir
tamamlamıstır tamamlamıştır
donmeyenin dönmeyenin
harcamayayim harcamayayım
düsünülmüs düşünülmüş
basyapitiyla başyapıtıyla
sirketlerini şirketlerini
yavasligini yavaşlığını
duymayi duymayı
oyuncularin oyuncuların
alkislar alkışlar
genc genç
baslatan başlatan
aktorlerdendir aktörlerdendir
benimsedigi benimsediği
kotülük kötülük
dizginleyemedigi dizginleyemediği
sasirtti şaşırttı
okuyanlarin okuyanların
ussunde üssünde
şaşirmaniza şaşırmanıza
ıspatlıyor ispatlıyor
yansittiklari yansıttıkları
basaramasa başaramaşa
harcanmamasi harcanmaması
okumaniz okumanız
tirstim tırstım
dusmani düşmanı
yakalanamamis yakalanamamış
kurtulamazsin kurtulamazsın
hayranlarini hayranlarını
izledigin izlediğin
izledigim izlediğim
sikistilar sıkıştılar
zorlanacagina zorlanacağına
bilmisler bilmişler
cekmesin çekmesin
egmege eğmeğe
hayranlarina hayranlarına
bikmis bıkmış
tutundugu tutunduğu
DIYEBILIRIM DİYEBİLİRİM
butceli bütçeli
kazansin kazansın
çektigimi çektiğimi
baglayamamasi bağlayamaması
insanlarini insanlarını
çöktügünü çöktüğünü
yaniyla yanıyla
sasirtsa şaşırtsa
sigacak sığacak
anlasilamayarak anlaşılamayarak
kiziyla kızıyla
yavaslik yavaşlık
ortakligi ortaklığı
zavalli zavallı
cocuksunuz çocuksunuz
Muhtarin Muhtarın
yerlesmesiyle yerleşmesiyle
takintili takıntılı
Ibad İbad
olmanizda olmanızda
yazarin yazarın
sigmaya sığmaya
varliklarin varlıkların
amerıkalıların amerikalıların
amacsız amaçsız
hayranligi hayranlığı
araplari arapları
atfedilecegini atfedileceğini
aşik aşık
dublajmis dublajmış
gökdelenın gökdelenin
konusabilenleri konuşabilenleri
çaldilar çaldılar
yansitilmis yansıtılmış
kosturur koşturur
yayinlanacak yayınlanacak
kelamlarindan kelamlarından
anlamin anlamın
dokturmus döktürmüş
Doyamiyoruz Doyamıyoruz
hoslaniyorsaniz hoşlanıyorsanız
hâlini hâlını
uclemeyi üçlemeyi
uyarlamaydi uyarlamaydı
çalişin çalışın
geçememis geçememiş
ugras uğraş
isinlanmalar ısınlanmalar
Garin Garın
aliriz alırız
aktarilsaymis aktarılsaymış
yonetmenlerı yönetmenleri
gerceklere gerçeklere
çikmis çıkmış
toplayacaktir toplayacaktır
kivamda kıvamda
basarisinda başarışında
yasami yasamı
siçrama sıçrama
yapmasini yapmasını
damlamis damlamış
neymissin neymişsin
yansitilmadığı yansıtılmadığı
alirim alırım
caglarini cağlarını
yazdigim yazdığım
uyarlandıgını uyarlandığını
çikacak çıkacak
versiyonlarinin versiyonlarının
Bacca Baçça
Görüldügü Görüldüğü
iisin ıısın
ağiz ağız
siralanmis şıralanmış
hazirliyordum hazırlıyordum
bosvermislik boşvermişlik
çikmayi çıkmayı
gelisimiyle gelişimiyle
ağit ağıt
ucagin uçağın
alir alır
etegine eteğine
yavaslamak yavaşlamak
basardıktan başardıktan
icindeydim içindeydim
çikmaya çıkmaya
dure düre
hazmi hazmı
canlandirmislar canlandırmışlar
giseyi gişeyi
konumlandigi konumlandığı
gecirirdim geçirirdim
asklarimda aşklarımda
giseye gişeye
ayidan ayıdan
siddeti şiddeti
cekemedi çekemedi
dusuncelerınıze düşüncelerinize
Sinanla Sınanla
cekilebilecegi çekilebileceği
gulumsemenize gülümsemenize
siddete şiddete
katettigini katettiğini
duymasi duyması
kalista kalışta
yapismissa yapışmışsa
bütceye bütçeye
düsünmüs düşünmüş
kizdim kızdım
ugurlamayi uğurlamayı
DEĞIL DEĞİL
kaslari kaşları
hatirlatiyor hatırlatıyor
Palin Palın
alsaydi alsaydı
gokyuzunden gökyüzünden
stone stöne
nasildi nasıldı
sunabilecegi sunabileceği
oykusuyle öyküsüyle
taraflarina taraflarına
yayınlamıs yayınlamış
görmeyecegi görmeyeceği
asagidaki aşağıdaki
karsilayacaktir karşılayacaktır
sapikliga sapıklığa
darmadagin darmadağın
buyuler büyüler
nasilda nasılda
begenmeyenler beğenmeyenler
girmedigim girmediğim
artirmak artırmak
oldurebilirlerdi öldürebilirlerdi
dogumu doğumu
alamadigim alamadığım
yatirimlar yatırımlar
DEGISMELIDIR DEĞİŞMELİDİR
çevirdiginizde çevirdiğinizde
sasirtma şaşırtma
baglayip bağlayıp
filmı filmi
dayanamiyor dayanamıyor
düsündügüm düşündüğüm
Köscü Kösçü
dünyamizi dünyamızı
karsiyim karşıyım
geçisler geçişler
kralimiz kralımız
ugrayabilirsiniz uğrayabilirsiniz
ayrintilarda ayrıntılarda
Içeriğe İçeriğe
yakismis yakışmış
yararlanilmis yararlanılmış
Savasimizin Savasımızın
dememis dememiş
yapilmadigi yapılmadığı
önyargilarimin önyargılarımın
çekebiliyormusuz çekebiliyormuşuz
paylasimini paylaşımını
kisinda kışında
kurgulamıs kurgulamış
karsilamiyorsunuz karşılamıyorsunuz
karsilastigim karşılaştığım
kacandan kaçandan
gecmisinden geçmişinden
gorusunun görüsünün
dune düne
baglanamamış bağlanamamış
acıdıgım acıdığım
nundur nündür
karsilasiyoruz karşılaşıyoruz
anlasılır anlaşılır
hayraniyim hayranıyım
sasirtiyordu şaşırtıyordu
yayinlanmasi yayınlanması
almisti almıştı
fazlaymis fazlaymış
homoseksueller homoseksüeller
hizmetcisinin hizmetçisinin
müzikalı müzikali
propagandasi propagandası
hatirlayanlar hatırlayanlar
sıkıldıgım sıkıldığım
yaridan yarıdan
butcede bütçede
okundugu okunduğu
cıkabilirsiniz çıkabilirsiniz
ozetlemek özetlemek
sigdirilir sığdırılır
toreni töreni
duygulandim duygulandım
begenmez beğenmez
gögüsler göğüsler
benzedigi benzediği
Ikincisi İkincisi
yazari yazarı
yaslarimi yaslarımı
aldiginiz aldığınız
Sarkis Sarkış
düsündürecek düşündürecek
bekledigimsen beklediğimsen
begenmek beğenmek
yonetmenleri yönetmenleri
Pirinçci Pirinççi
cekimini çekimini
ozgurlugumuze özgürlüğümüze
yorgunluguna yorgunluğuna
cigerine ciğerine
gencimizdir gençimizdir
tarafcı tarafçı
basarabilenleri başarabilenleri
sapkinliklar sapkınlıklar
çıtırın çitirin
Hackerlık Hackerlik
çikmasi çıkması
kıtabımızdan kitabımızdan
çikamadigi çıkamadığı
çaresizligi çaresizliği
atlamadim atlamadım
geckin geçkin
icmis içmiş
okusaniz okusanız
sarisinlarla sarışınlarla
barindirmayan barındırmayan
yansitmamis yansıtmamış
yaşindadir yaşındadır
serabi serabı
geçireceginiz geçireceğiniz
aptalliklari aptallıkları
Karayip Karayıp
birlikteligi birlikteliği
umursamayin umursamayın
Izleyenin İzleyenin
topraga toprağa
cagi cağı
halusinasyon halüsinasyon
elestirmeyi eleştirmeyi
bekleyise bekleyişe
anlasilmaz anlaşılmaz
SENARYODAKI SENARYODAKİ
batmaninkiler batmanınkiler
elestirmeye eleştirmeye
çikmaz çıkmaz
Beson Beşon
olusumuydu oluşumuydu
kurtaramamis kurtaramamış
sinanı sınanı
zekasini zekasını
zanli zanlı
calisilan çalışılan
anlatiyormus anlatıyormuş
sarkinin şarkinin
ofkeleniyorsunuz öfkeleniyorsunuz
zekasina zekasına
Gulmenin Gülmenin
basardigimi başardığımı
gecireyim geçireyim
begenecegi beğeneceği
eşekcik eşekçik
sınemadakı sinemadaki
sıkıntidan sıkıntıdan
asilamak aşılamak
masalini masalını
POLISLERDE POLİSLERDE
oynamiş oynamış
çakmasini çakmasını
saçmalikla saçmalıkla
çabaydi çabaydı
binmistir binmiştir
güzellesmiyor güzelleşmiyor
Imogen İmogen
gıse gişe
izleyebilecegine izleyebileceğine
ızletseler izletseler
canlandirilmasi çanlandırılması
olamadigi olamadığı
ipuçlari ipuçları
çekilis çekiliş
dinledigimiz dinlediğimiz
gosterilmiş gösterilmiş
ulkelere ülkelere
ask aşk
cisten çişten
heyecanlandim heyecanlandım
kurmasi kurması
cekilmesine çekilmesine
dukkanin dükkanın
goturmeyı götürmeyi
gururlandirici gururlandırıcı
karsilastiracak karşılaştıracak
begenmiyorlar beğenmiyorlar
siralara sıralara
carsaflilar çarşaflılar
yansitiyordu yansıtıyordu
dolayısı dolayışı
kizdan kızdan
isinlanan ışınlanan
sekansina sekansına
kilamamis kılamamış
Çaresizligimiz Çaresizliğimiz
kopyalamislar kopyalamışlar
mesru meşru
düsüp düşüp
kurgulari kurguları
seytanla şeytanla
çabasindan çabasından
musaitseniz müsaitseniz
yakinmasinda yakınmasında
agladigimiz ağladığımız
zamanimizdaki zamanımızdaki
yikip yıkıp
siralardan şıralardan
yikin yıkın
görünülecegi görünüleceği
yikim yıkım
atmaliyim atmalıyım
tıklımmış tiklimmiş
yanaklarim yanaklarım
yikik yıkık
çıkiyorum çıkıyorum
gozyaslariniz gözyaşlarınız
sismanlayacak şişmanlayacak
babasi babası
oracikta oracıkta
Uyanis Uyanış
tutarli tutarlı
düsleri düşleri
genetigi genetiği
hatirladigim hatırladığım
muhabbetıyle muhabbetiyle
yarisacak yarışacak
alkislayasim alkışlayasım
İcinde İçinde
dışılığını dişiliğini
baktiniz baktınız
dokmeleri dökmeleri
gösterilmis gösterilmiş
coksa çoksa
atinca atınca
hazirlayanlara hazırlayanlara
aldiginda aldığında
baglayan bağlayan
arastiriyoruz araştırıyoruz
calissalar çalışsalar
atiyordum atıyordum
gisesinde gişesinde
ladığını ladiğini
üslendigi üslendiği
begenmemistim beğenmemiştim
yakismaz yakışmaz
çikarmasini çıkarmasını
izlemistir izlemiştir
acirsiniz açırsınız
tanitildiği tanıtıldığı
kurgulanmamis kurgulanmamış
izlemistim izlemiştim
uyarlanmasina uyarlanmasına
adaylik adaylık
bunaldigimdandir bunaldığımdandır
Durduramadilar Durduramadılar
göbegini göbeğini
depolandi depolandı
kisilmis kısılmış
kayiplarin kayıpların
olabilirmis olabilirmiş
BEYINLERI BEYİNLERİ
zorlugunu zorluğunu
Yarişmada Yarışmada
Surtur Sürtür
panoramasi panoraması
yuklemesi yüklemesi
skeclerinin skeçlerinin
hirsindan hırsından
YILMISTIK YILMIŞTIK
seytanin şeytanın
doguda doğuda
cekerse çekerse
görselligiyle görselliğiyle
merceginde merceğinde
alkıslamaz alkışlamaz
gosteremezler gösteremezler
vurgulamalari vurgulamaları
CALIŞMA ÇALIŞMA
ajanin ajanın
citayi çıtayı
anlayisiniz anlayışınız
olmamisligini olmamışlığını
sasirtici şaşırtıcı
sokmasi sokması
karsiniza karşınıza
irkcilik ırkçılık
alkıslamak alkışlamak
konusturmus konuşturmuş
izlemeyecegi izlemeyeceği
ızlemedıysenız izlemediyseniz
giseli gişeli
omuzlarinda omuzlarında
sevdigini sevdiğini
anlayisinin anlayışının
romanin romanın
alinmis alinmiş
Isiniz Isınız
elestirilebilecek eleştirilebilecek
baslangiçta başlangıçta
izlemıstım izlemiştim
Yanardagin Yanardağın
anlatimiyla anlatımıyla
PARTINI PARTİNİ
biraktigim bıraktığım
sipidik şıpıdık
unsurlari unsurları
vermemis vermemiş
osmanlinin osmanlının
arkadasinizla arkadaşınızla
ucmus uçmuş
cekildigi çekildiği
bütceli bütçeli
yaptirtacak yaptırtacak
islenmisti islenmişti
begeniyle beğeniyle
parlamayi parlamayı
bitecegini biteceğini
kopyalanmadigi kopyalanmadığı
fundalina fundalına
SAHNELERIN ŞAHNELERİN
atlatamadim atlatamadım
dusurmeden düşürmeden
ogullari oğulları
etkilenmistim etkilenmiştim
yargilamak yargılamak
gelismeler gelişmeler
çekiciligi çekiciliği
oynamis oynamış
soylenti söylenti
dikisiyle dikişiyle
sahsiyetler şahsiyetler
tasrada taşrada
vardiklari vardıkları
cikacagini çıkacağını
değilmisin değilmişin
kırıklıgını kırıklığını
yanilabilirler yanılabilirler
imizi ımızı
isçileriyle işçileriyle
dusunulmesinin düşünülmesinin
anlardiniz anlardınız
Asif Asıf
bunalimdaki bunalımdaki
hayatlarimizda hayatlarımızda
verebileceginiz verebileceğiniz
baslangictan başlangıçtan
sogumusken soğumuşken
Çagri Çağrı
cikmadigim çıkmadığım
harikanin harikanın
cikacagimi çıkacağımı
kazandirmistir kazandırmıştır
yazilsa yazılsa
uyarlamalarini uyarlamalarını
kult kült
eglendigimi eğlendiğimi
HARIKA HARİKA
